row_id,original_ref,consensus_ref,ref_used,model_h_wer_original,model_h_wer_consensus,model_h_wer_fair,model_i_wer_original,model_i_wer_consensus,model_i_wer_fair,model_k_wer_original,model_k_wer_consensus,model_k_wer_fair,model_l_wer_original,model_l_wer_consensus,model_l_wer_fair,model_m_wer_original,model_m_wer_consensus,model_m_wer_fair,model_n_wer_original,model_n_wer_consensus,model_n_wer_fair
13,ज ऐस न ह क उनहन टइट कपड पहन लए बद म दड भ नह प रह और शरर म लचक आ रह ह त व पसन पड ज रह ह य ह क उनक हट ववस क करण कछ भ ह जए,ज ऐस न ह क उनहन टइट कपड पहन लए बद म दड भ नह प रह और शरर म लचक आ रह ह त व पसन पड ज रह ह य ह क उनक हट वव क करण कछ भ ह जए,consensus,0.093,0.093,0.093,0.0,0.0233,0.0,0.0233,0.0,0.0,0.0465,0.0233,0.0233,0.1395,0.1395,0.1395,0.093,0.093,0.093
14,पहल सबज मरकट तक जन थ सब ऐस ह जत थ कन स वह बत ह कन स दत थ चब वगरह आपक आप कह दर जत त तब बड मशकल स गड क चब मलत थ,पहल सबज मरकट तक जन थ सब ऐस ह जत थ कन स वह बत ह कन स दत थ चब वगरह आपक आप कह दर जत त तब बड मशकल स गड क चब मलत थ,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.027,0.0811,0.0811,0.0811,0.027,0.027,0.027
15,जब जस जस समझदर आत ह क हम उनक सथ कस बहव कए उस समय अब ऐस नह करन चहए थ हमक,जब जस जस समझदर आत ह क हम उनक सथ कस बहव कए उस समय अब नह नह करन चहए थ हमक,consensus,0.0455,0.0455,0.0455,0.0,0.0455,0.0,0.1364,0.1818,0.1364,0.0909,0.0909,0.0909,0.2727,0.2727,0.2727,0.1818,0.1818,0.1818
16,बद ह जत ह त इन सब स इन सब क एक ह उपय हत ह कई अनय जगह पर घमन जन यतर करन भरमण करन चह व कस भ रप म ह चह कस परयटन सथल पर ह दरशनय सथल पर ह कस क,बद ह जत ह त इन सबस इन सबक एक ह उपय हत ह कई अनय जगह पर घमन जन यतर करन भरमण करन चह व कस भ रप म ह चह कस परयटन सथल पर ह दरशनय सथल पर ह कस क कस क,consensus,0.0222,0.1556,0.0222,0.0,0.1333,0.0,0.0889,0.0444,0.0444,0.1333,0.0889,0.0889,0.1111,0.0667,0.0667,0.0889,0.0444,0.0444
17,एक दन पहल य उस दन चतरथ क दन लग उसक लकर आत ह मरत क थड स फस क ज चहर हत ह न गणश ज क व ढक कर और फर उनक लकर आत ह बड बज क सथ म लकर आत ह,एक दन पहल य उस दन चतरथ क दन लग उसक लकर आत ह मरत क थड स फस क ज चहर हत ह न गणश ज क व ढक कर और फर उनक लकर आत ह बड बज क सथ म लकर आत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0889,0.0889,0.0889,0.0,0.0,0.0,0.1556,0.1556,0.1556,0.0889,0.0889,0.0889
18,ववधत और कमत क ममल म बजर क तलन मल स करन,ववधत और अ कमत क ममल म क क तलन मल स करन,consensus,0.0833,0.0769,0.0769,0.0,0.1538,0.0,0.0833,0.0769,0.0769,0.1667,0.0769,0.0769,0.0,0.1538,0.0,0.0,0.1538,0.0
19,ह और यह पर सर सवध ह परकग क लए भ अलग स उनहन फलर बन क रख हआ ह लफट भ ह,ह और यह पर सर सवध ह परकग क लए भ अलग स उनहन फलर बन क रख हआ ह लफट भ ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.1304,0.1304,0.1304,0.087,0.087,0.087,0.1304,0.1304,0.1304,0.0435,0.0435,0.0435
20,बहर क व जस क आन जन म ज सटरगल रह क वह प जस गए त रत म मतलब हमक वह प उतर कट मतलब कट ह रजसथन क कट म त रत म उतर त फर रत भर हमक,बहर क व जस क आन जन म ज सटरगल रह क वह प जस गए त रत म मतलब हमक वह प उतर कट मतलब कट ह रजसथन क कट म रत म उतर त फर फर रत भर हमक,consensus,0.0244,0.0244,0.0244,0.0,0.0488,0.0,0.0,0.0488,0.0,0.0,0.0488,0.0,0.0976,0.0976,0.0976,0.122,0.1707,0.122
21,और य फर मसकर कर कह द क ह नन आप त अगल महन अब घर चल रह ह म अब आपक पसदद खचड भ बनऊग और मन यह मन बत टलन क ह कशश क मन दसर रसत चन,और य फर मसकर कर कह द क ह नन आप त अगल महन अब घर चल रह ह म अब आपक पसदद खचड भ बनऊग और मन यह मन बत टलन क ह कशश क मन दसर रसत चन,original,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.025,0.025,0.025,0.2,0.2,0.2,0.175,0.175,0.175
22,अचछ चलए अचछ हआ आपन य सर इफरमशन मझ बत द क म अपन आग धयन रख,अचछ चलए अचछ हआ आपन य सर इफरमशन मझ बत द क म अपन आग धयन रख,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0588,0.0588,0.1176,0.1176,0.1176,0.1176,0.1176,0.1176
23,और एक त मतलब बरहव पस हन क बद न आप इतन हशयर भ नह हत ह,और एक त मतलब बरहव पस हन क बद न आप इतन हशयर भ नह हत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0588,0.0588,0.1176,0.1176,0.1176,0.0588,0.0588,0.0588,0.0,0.0,0.0
24,दसर जत म त शद हत ह नह ह रजसथन म बहत बवल हत ह दख जए त,दसर जत म त शद हत ह नह ह रजसथन म बहत बवल हत ह दख जए त,original,0.0556,0.0556,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0556,0.0556,0.1111,0.1111,0.1111
25,त व कय फर जवण फर व कय ह उनम जव नह हत कय हत ह ज,त व कय फर जवण फर व कय ह उनम जव नह हत कय हत ह ज,original,0.1176,0.1176,0.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.1176,0.1176,0.1176,0.1176,0.1176,0.0588,0.0588,0.0588
26,त एक भरतय हन क नत मझ लगत ह इतन त इसनयत सब म हन चहए,त एक भरतय हन क नत मझ लगत ह इतन त इसनयत सब म हन चहए चहए,consensus,0.125,0.1765,0.125,0.0,0.0588,0.0,0.0,0.0588,0.0,0.1875,0.2353,0.1875,0.0,0.0588,0.0,0.0,0.0588,0.0
27,लइक रववर क कलज क भ छटट रहत ह त म भ उस दन सत रहत ह,लइक रववर क कलज क भ छटट रहत ह त म भ उस दन सत रहत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0588,0.0588,0.0,0.0,0.0,0.0,0.0,0.0
28,तकनक यग म कय टक हए ह,तकनक यग म कय टक हए ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.4286,0.4286,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857
29,परयगरज अभ कभ मल लग थ न,परयगरज अभ कभ मल लग थ न न,consensus,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.1429,0.25,0.1429,0.2857,0.375,0.2857
30,आपक दन शभ ह धनयवद शभ रतर,आपक दन शभ ह धनयवद शभ रतर,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.0,0.0,0.0
31,पहड इलक य समदर कनर जस बहतरन घर क बर म बत करन ह,पहड इलक य समदर कनर जस बहतरन घर क बर म बत करन ह,original,0.0,0.0,0.0,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,दखओ वकई वकई सह बल रह ह,दखओ वकई वकई सह बल रह ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.1429,0.1429,0.0,0.0,0.0
33,त भरत त एक खद स ह गफटड लड ह त हम इसक एकसपलर करन चहए दखन चहए,त भरत त एक खद स ह गफटड लड ह त हम इसक एकसपलर करन चहए दखन चहए,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ज उसक बद भ भई दज वगरह हत ह उसम भ रशतदर आत ह बहन आत ह मर,ज उसक बद भ भई दज वगरह हत ह उसम भ रशतदर आत ह बहन आत ह मर,original,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.0556,0.0556,0.0556
35,कन स एक पहचन सवद य धवन तरत आपक बचपन क यद म ल जत ह कय बतएग,कन स एक पहचन सवद य धवन तरत आपक बचपन क यद म ल जत ह कय बतएग बतएग,consensus,0.0,0.0526,0.0,0.0,0.0526,0.0,0.0,0.0526,0.0,0.0556,0.0526,0.0526,0.0556,0.1053,0.0556,0.0,0.0526,0.0
36,मर भई बहन क सथ म खलत थ हम एक चबतर पर बठ रहत थ बचपन म,मर भई बहन क सथ म खलत थ हम एक चबतर पर बठ रहत थ बचपन म म थ हम एक चबतर पर बठ रहत थ बचपन म,consensus,0.1765,0.4643,0.1765,0.0,0.3929,0.0,0.6471,0.6071,0.6071,0.0588,0.4286,0.0588,0.1176,0.4643,0.1176,0.0,0.3929,0.0
37,कयक मग क दल पषटक रहत ह त खन क बलत ह त व मग क दल म इतन सर बमर आ रह ह कयक व दवई अचछ नह बन रह ह ज दव डलत ह न,कयक मग क दल पषटक रहत ह त खन क बलत ह त व मग क दल म इतन सर बमर आ रह ह कयक व दवई अचछ नह बन रह ह ज दव डलत ह न,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.027,0.1081,0.1081,0.1081
38,शहर जवन बम बनम छट शहर क जवन आपक शहर य कसब क महल म बड हन स आपक,शहर जवन बम बनम छट शहर क जवन आपक शहर य कसब क महल म बड हन स आपक,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ह नह त पहल डसकटप थ न बद म लपटप आय लपटप न इज आसन बन दय ह कम,ह नह त पहल डसकटप थ न बद म लपटप आय लपटप न इज आसन बन दय ह कम,original,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.2105,0.2105,0.0526,0.0526,0.0526,0.0,0.0,0.0,0.0526,0.0526,0.0526
40,अब इसम लख ह आपक मदद करन क परवतत क सबस जयद कन स आतरक मलय पररत करत ह,अब इसम लख ह आपक मदद करन क परवतत क सबस जयद कन स आतरक मलय पररत करत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.1053,0.1053,0.1053,0.1053,0.1053,0.0,0.0,0.0
41,मझ मयजक सनन पसद ह गन भ पसद ह एकचअल और डसग त पशन ह मर बहत पसद ह,मझ मयजक सनन पसद ह गन भ पसद ह एकचअल और डसग त पशन ह मर बहत पसद ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0526,0.0526,0.0,0.0,0.0
42,वह पर बहत रग बरग फल रहत ह झल रहत ह वह पर बहत चज खलन क मलत ह,वह पर बहत रग बरग फल रहत ह झल रहत ह वह पर बहत चज खलन क मलत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.1053,0.1053,0.0,0.0,0.0,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526
43,एक मर कम नह ह नकलवन लकन मर पस पत चल मझ,ठक मर कम नह ह नकलवन लकन मर पस पत चल मझ,consensus,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.0833,0.0,0.0,0.0833,0.0,0.0
44,चल भगवन न बच लय कछ बड नह हआ चल इतन स ह मतलब ज हमर ऊपर कछ थ व बल व टल गई,चल भगवन न बच लय कछ बड नह हआ चल इतन स ह मतलब ज हमर ऊपर कछ थ व बल व टल गई,original,0.0,0.0,0.0,0.0417,0.0417,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0833,0.0833,0.125,0.125,0.125
45,महनत त कह वयरथ नह जत ह दर स ह आत ह,महनत त कह वयरथ नह जत ह दर स ह आत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,0.0833,0.0833,0.0833
