recording_id,user_id,segment_start,segment_end,disfluency_type,transcription_snippet,audio_url,audio_segment_path
990175,93626,61.43,74.93,filler,तो मैं कभी उनको खिला देती थी कभी अपनी बेस्ट फ्रेंड को खिला देती थी या फिर कभी मेरी बेस्ट फ्रेंड जो है वो कोई अच्छा लंच लाइ है पास्ता मैगी नूडल्स ये सब लेके आई हैं तो फिर मैं उसका लंच आह मतलब हम लोग शेयर खाते थे या फिर मैं ही उस उसका खा जाती थी,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,61.43,74.93,repetition,तो मैं कभी उनको खिला देती थी कभी अपनी बेस्ट फ्रेंड को खिला देती थी या फिर कभी मेरी बेस्ट फ्रेंड जो है वो कोई अच्छा लंच लाइ है पास्ता मैगी नूडल्स ये सब लेके आई हैं तो फिर मैं उसका लंच आह मतलब हम लोग शेयर खाते थे या फिर मैं ही उस उसका खा जाती थी,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,113.27,127.91,filler,"जैसे की अह अह गर्मी के महिने में तो मुझे भी कोई बाहर नहीं निकलने देता था, लेकिन जैसे जैसे ही शाम होती थी, तो जैसे जो मेरी अगल बगल की जो मतलब अह फ्रेंड लोग हैं, जो मेरे साथ स्कूल में थी, तो मैं उनके घर जाती थी, अब जैसे क्या है कि मेरा घर जो है वो",https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,113.27,127.91,repetition,"जैसे की अह अह गर्मी के महिने में तो मुझे भी कोई बाहर नहीं निकलने देता था, लेकिन जैसे जैसे ही शाम होती थी, तो जैसे जो मेरी अगल बगल की जो मतलब अह फ्रेंड लोग हैं, जो मेरे साथ स्कूल में थी, तो मैं उनके घर जाती थी, अब जैसे क्या है कि मेरा घर जो है वो",https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,127.94,142.37,repetition,जैसे मेरा घर जो है ना वो मेन रोड पे है तो अब मुझे कोई बाहर नहीं निकलने था क्योंकि बोलते थे कि गारी तुम्हें ठोक के भाग जाएगी तुम बच्ची हो तो मतो मुझे भी डर लगता था लेकिन जैसे ही शाम होती थी ना तो मैं सारे फ्रेंड लोगों के साथ उनके घर पे जाती थी,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,142.37,157.25,filler,एंड हमलोग एक ही जगह को अड्डा बनाए हुए थे एक हम लोग का पार्क था उसमें हमलोग अपना मतलब खेलते थे एंड जैसे कि क्या है ना की अह उन लोगों का घर जो है ना की थोड़ा गली मे है तो गली में होती होती है हम लोग किसी के भी घर में नहीं मतलब ऐसे,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,188.21,199.46,filler,मैम मेरे इधर नेटवर्क ही ऐसा है मैं क्या कर सकती हूँ आच्छा आप बोल सकते हूँ ओके ओके आप बोल सकते हूँ कोई दिक्कत नहीं है हाँ हेलो,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,188.21,199.46,repetition,मैम मेरे इधर नेटवर्क ही ऐसा है मैं क्या कर सकती हूँ आच्छा आप बोल सकते हूँ ओके ओके आप बोल सकते हूँ कोई दिक्कत नहीं है हाँ हेलो,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,210.17,213.23,repetition,मैम मतलब मेरे घर न थोड़ा है रहता है इशु,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,215.36,221.36,filler,ओके ओके तो मतलब मेरे इधर ना थोड़ा नेटवर्क का इशू रहता है तो आप टॉपिक पर कंटिन्यू कर सकते हो कोई दिक्कत नहीं है,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,215.36,221.36,repetition,ओके ओके तो मतलब मेरे इधर ना थोड़ा नेटवर्क का इशू रहता है तो आप टॉपिक पर कंटिन्यू कर सकते हो कोई दिक्कत नहीं है,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
990175,93626,380.63,388.46,repetition,जैसे की ऐसा तो मतलब कुछ नहीं है लेकिन क्या था की हाँजी एक जो फैमिली थी ना तो ज जी।,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
526266,286851,69.01,83.41,filler,कर लेते हैं तो फिर उनका जो बदन है ना वो जल जाता है तो फिर मेडिकल में जाकर उनका चाची जब देखते उनका चाची के आंखों के सामने ये सब हुआ ना जब उनके चाची ने देखा तो अ,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,112.39,125.41,filler,उम्म.पीछे डाल के कि उनका बदन कितना जल गया है क्या भी हुआ जो भी हो तो उनसे प्यार करते थे न उसको साइड में रख के उनसे शादी कर लिया तो ये देख के बहुत रोना आया मेरे को,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,129.13,132.25,filler,"तो फिर आपको कौन सि फिलिम आह लगा बोलिए,",https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,230.17,245.02,filler,तो तो फिर वो ही कम उम्र में गुजर जाते हैं तो ये दो बहन होते हैं एक छोटा भाई होता है तो उनके बड़े बहन का क्या करते हैं उनका अ मंगनी हो जाता है और फिर क्या होता है उनका पिताजी चले चल बसते हैं,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,332.5,344.77,filler,जी जी अम्म दुःखद अंत और खुशहाल अंत की तुलना करें तो इस बारे में आप पहले बताईए,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,348.79,355.45,filler,दुखद अंत और खुशाल अंत दुख और खुशी के बारे में बात करना है फिलींग के,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,419.41,434.38,filler,हूं नहीं ये तो मैं कहना चाहूँगी कि उन दोनों का फिर से मिलन हो गया फिर उन दोनों का शादी भी हो गया कुछ गलत फेमी के वजह से अह शाहिद कपूर ने उनसे गुस्स,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,460.72,465.37,filler,ओके और फिर नेक्स्ट टॉपिक के बारे में बात करते हैं,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
526266,286851,460.72,465.37,repetition,ओके और फिर नेक्स्ट टॉपिक के बारे में बात करते हैं,https://storage.googleapis.com/upload_goai/639950/526266_audio.wav,
520199,494,133.6,138.25,repetition,जी मैम मै वैसे मैं एक बेब सीरीज है इंदौरी ।,https://storage.googleapis.com/upload_goai/639950/520199_audio.wav,
520199,494,189.52,197.26,repetition,उसके बाद बहुत सारी मूवीस है शिद्दत है कबीर सिंह है इन सबको देख के मुझे इमोशनल हो जाता है मुझे रोना आ जाता है।,https://storage.googleapis.com/upload_goai/639950/520199_audio.wav,
520199,494,291.97,295.21,repetition,मैं इमोशनल हुआ था अभी हाल में एक एक मूवी आया था ट्वेल्थ फेल,https://storage.googleapis.com/upload_goai/639950/520199_audio.wav,
520199,494,328.0,330.4,repetition,जी और हमारा नेस्ट टॉपिक है,https://storage.googleapis.com/upload_goai/639950/520199_audio.wav,
542785,212729,10.78,15.94,filler,हम्म हां जी जी आवाज आ रही है अब,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,75.28,75.76,filler,हम्म,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,124.06,132.88,repetition,मतलब उस पर कोई आप अपना विचार रखिए हैलो,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,158.47,161.11,repetition,जी जी जी बोलिये आपकी आवाज कट कट के आ रही है,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,171.61,183.4,filler,"नहीं नहीं मेरी तरफ भी फूल नेटवर्क है, ऐसा कोई इशू नहीं तो बिलकुल सही कह रहे हैं तो मेरा पसंदीदा फैशन जो है कुर्ता पाजामा है मैं कुर्ता पाजामा पहनना ज़्यादा पसंद करता हूँ।",https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,212.62,226.21,repetition,"जी, जी, जी सबके अपनेअपने चॉइस है जो जैसा पहनना चाहे तो नेक्स्ट हमारा विंदू है कि शर्मनाक फैशन चॉइस पर हसी मजाक करना तो आपने कभी ऐसा किया है",https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,226.42,231.01,repetition,कि किसी का फैशन देखकर के आप दो तीन लोग हों हॅंसी मजाक किये हों कि हाॅं कैसा है,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,240.76,241.03,filler,हम्म,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,323.41,336.64,repetition,जी जी जी तो जिसका ट्रेंड चलता है भाई मॉल में तो उसको जरूर रखते हैं लोग न जिसका मॉल होता है वो तो भाई जरूर रखेगा चीजों तो वो ट्रेंड जिन से हमें प्यार है या जिस,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,336.67,347.11,repetition,जिनसे में नफरत नफरत है उन पर चर्चा करना तो ऐसा कोई ट्रेंड जिससे मतलब आपको ज्यादा लगाव हो और ऐसा कोई जिससे आपको नफरत हो तो ऐसा कुछ बताइए आप,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,460.09,463.3,repetition,तो वही हुआ आपके अनुभव तो बताइए,https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
542785,212729,539.11,553.3,repetition,"चलिए ठीक हैं, मैडम आपकी आवाज बड़ी कट कट के आ रही हैं, इसलिए आपकी आवाज बड़ी कट कट के आ रही हैं ,इसलिए थोड़ा सा प्रॉब्लम हुआ तो ,कोई दिक्कत नहीं टॉपिक हम लोगों ने कवर कर लिया है तो फिर आपका दिन शुभ हो",https://storage.googleapis.com/upload_goai/608692/542785_audio.wav,
494019,218779,32.74,38.86,repetition,गोल्ड आउटफिट्स मेरे हिसाब से नहीं वो पहनना चाहिए पब्लिकली तो एट एट लिस्ट नहीं पहना चाहिए,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,53.56,58.93,filler,नहीं नहीं फुल नेटवर्क में हूँ मैं कोई नेटवर्क इश्यू नहीं है,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,66.1,80.08,filler,"जी पब्लिकली नहीं पहनना चाहिए सबके अपने अपने चॉइस होती है पर्सनल पार्टी कर रहे हैं, कुछ कर रहे हैं देन ओके बट पब्लिकली नहीं आई थिंक बाकि जैसे जिसकी सोच।",https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,125.8,139.09,filler,मुझे पसंदीदा तो साड़ी है ऑल टाइम फेवरेट मैं साड़ी मैं घर में भी साड़ी बर करना पसंद करती हूँ बहार भी जाती हूँ तो साड़ी हलो मेरा पसंदिदा आउटफिट साड़ी है मुझे,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,151.15,165.79,repetition,"हेलो साड़ी वेयर करना, मेरा पसंदीदा आउटफिट है मैं कहीं भी जाती हूं साड़ी वेयर करती हूं।मैं फ़ुल नेटवर्क में हूं शायद आपके नेटवर्क का इश्यू होगा",https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,184.51,185.11,filler,ओके।,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,231.04,244.84,filler,ऐसे तो किसी की कभी हसी नहीं उड़ाई मगर उर्वी जाफ़िद को देखके हमेशा हसी आती है उसके फैशन ट्रेंड को देखके वो जो ड्रेसेस वियर करती है जो पब्लिकली वियए करके आती है उसे देखके ज़रूर हसी आती ए,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,244.9,252.13,filler,जो उसके ऊपर मीम्स बनते हैं उन्हें देखकर बढ़ी हंसी आती है सबसे ज़्यादा मीम्स बनते हैं फैशन पे उसी को लेकर,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,341.59,341.92,filler,हम्म,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,396.01,409.63,filler,नहीं ऐसा कुछ नहीं किया हाँ साडियों को जरूर मैं नए नए स्टाइल में वेयर करती रहती हूँ जो नए ट्रेंड मुझे इस यूट्यूब पे कुछ ट्यूटोरियल जिखते हैं या कुछ इस होता है तो जब साड़ी पे जरूर प्लानिंग करती हूँ कि यार इसको इस तरह से वेयर किया जा सकता है इस तरह से,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,396.01,409.63,repetition,नहीं ऐसा कुछ नहीं किया हाँ साडियों को जरूर मैं नए नए स्टाइल में वेयर करती रहती हूँ जो नए ट्रेंड मुझे इस यूट्यूब पे कुछ ट्यूटोरियल जिखते हैं या कुछ इस होता है तो जब साड़ी पे जरूर प्लानिंग करती हूँ कि यार इसको इस तरह से वेयर किया जा सकता है इस तरह से,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,420.94,429.22,filler,आपको कोई से फैशन आईडीएस जो नए आपको लगते हो मेंस में तो वैसे ज़्यादा फैशन होती नहीं है टीशर्ट लोवर,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,520.12,529.87,filler,हा अक्सर हम लोग शेयर करते रहते है आपस मे दोस्त के नही ये यह चीज़ अच्छी लगती है हां हम लोग अक्सर शेयर करते रहते बातें इस तरह से कभी खुद ट्राइ करते हैं उसके बाद दोस्तों को शेयर करते हैं,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
494019,218779,520.12,529.87,repetition,हा अक्सर हम लोग शेयर करते रहते है आपस मे दोस्त के नही ये यह चीज़ अच्छी लगती है हां हम लोग अक्सर शेयर करते रहते बातें इस तरह से कभी खुद ट्राइ करते हैं उसके बाद दोस्तों को शेयर करते हैं,https://storage.googleapis.com/upload_goai/608692/494019_audio.wav,
523045,197862,26.71,28.33,filler,हम्म प्राणा है कि इस,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,93.49,104.23,repetition,हू वो तो है अब तरह तरह के गाने आने लगे है न पहले था कि केवल हिंदी लोग सब सुनते थे लेकिन आप कुछ सब का अलग अलग अथि है सुनने का तरीका होता है न कुछ,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,122.74,134.89,repetition,एक है सर एक पहला टॉपिक हम लोग पसंदीदा शैलियों जैसे पॉप रॉक या क्लासिक सगल म्यूजिक के बारे में बात करना यह रॉक गाना होता है ना सर ये हनी सिंह का गाना जो है,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,201.91,216.31,repetition,"भक्ति गाना मिलेगा तो वह भी पुराना ही वाला सब कहा भी कभी भी होता है सुनने का मन जैसे की,सफर का गाना हो गया मतलब रास्ता में जा रहे हैं।उसका गाना सुन सकते हैं आप,बरसात के मौसम में उसका गाना सुन सकते हैं। कहीं पे शादीविवाह है उसका गाना बजा सकते है।",https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,280.96,283.69,filler,हम्म हम्म,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,376.12,390.01,repetition,"दो हजार बारह से ग्यारह से लगभग हम लोग सुन रहे थे पुराना गाना अब तो अब न नया नया बहुत सारा का गाना आ गया पहले तो यही अलग ही था पहले का गाना सर अभी सुन सुन सकते हैं जैसे कि पुराना फिल्म पसंद आता था ,",https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,390.13,396.7,filler,आपके फिल्म में ज़्यादा थोड़ा सा गजब होता है पुराना फिल्म में कहानी रहता था अब के फिल्म में थोड़ा सा ज़्यादा कॉमेडी या आने लगा है,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,390.13,396.7,repetition,आपके फिल्म में ज़्यादा थोड़ा सा गजब होता है पुराना फिल्म में कहानी रहता था अब के फिल्म में थोड़ा सा ज़्यादा कॉमेडी या आने लगा है,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,486.82,489.28,filler,हम्म,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
523045,197862,491.65,505.3,filler,और कुछ बताइए सर जो बचपन मे आप ज़्यादा गाना सुनते होंगे किस प्रकार का गाना सुनते हैं आप अपना बताइए कि कैसा गाना सुनना पसंद करते हैं,https://storage.googleapis.com/upload_goai/642712/523045_audio.wav,
522951,309629,13.09,20.56,repetition,हां वो तो नाइन्टीन नाइन्टीस के सॉन्ग हो गए ना मतलब जो पुराने सॉन्ग होते हो वो आपको ज्यादा पसंद है,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,24.94,32.92,filler,"बराबर है एस सर वो बारिश के मौसम के अंदर अगर हम बेटे तो हमें पुराने सॉन्ग सुनने में ज्यादा मज़ा आता है, ऐसे",https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,77.2,88.57,repetition,और हम बजा रहे तो हमें लोगों को भी सुनना अच्छा लगता है और हमें भी सुनना अच्छा लगता है इसलिए लोग कोई कुछ नहीं बोलता है और और नए सॉन्ग अगर हम शुरु करते और उसको बजाते हैं तो लोग,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,269.44,274.69,filler,अह बराबर है वो भी हो सकता है ह ह बराबर है आप,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,269.44,274.69,repetition,अह बराबर है वो भी हो सकता है ह ह बराबर है आप,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,278.53,286.27,repetition,हाँ बराबर हैं आपकी बात बस बना कर रखना अच्छा वो रहता है जो जो हमें पसंद है वहीं बच बचता है मतलब टाइम पर,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,357.34,371.44,filler,हाँ वो बराबर है अलग अलग सब रखते हैं तो हमें तुरंत मिल जाता है मतलब हां बराबर हे तो आप पहले से ही मतलब अह्ह्ह सुनते हैं पुराने गाने के अभी अभी सुनने लगे,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,357.34,371.44,repetition,हाँ वो बराबर है अलग अलग सब रखते हैं तो हमें तुरंत मिल जाता है मतलब हां बराबर हे तो आप पहले से ही मतलब अह्ह्ह सुनते हैं पुराने गाने के अभी अभी सुनने लगे,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,397.6,406.15,repetition,हुंह हुंह कॉमेडी अभी अच्छी नहीं आती है मतलब और पुरानी जो फिल्मे होती है उसमें सब आता था मतलब कोमेडी आती थी गाने भी अच्छे आते थे सब आता था,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,432.28,445.87,filler,हाँ वो भी है और पहले का गाना सात आठ मिनट सात आँठ मिनिट का होता था फिर भी हमें सुनने को अच्छा लगता था आज के गाने जो दो मिनिट के तीन मिनट के होते हैं लेकिन अच्छा वो वो मज़ा नहीं आता अंदर सुनने के लिए,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,455.02,456.64,filler,हम्म्म वो भी ट्रोफी के अंदर है,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,515.14,529.57,repetition,अभी दस बारा साल पुराने है ऐसे गाने भी सुनता हूं मैं अलग अलग मतलब अलग अलग गाने सुनना पसंद करता हूं कभी एस आरके शाहरुख खान के जो मूवी के गाने होते हैं वही सुनना पसंद कर देता हूं कई बार हनी सिंह के भी गाने सुनता हूं मैं,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,530.53,537.37,filler,वो अलगअलग मतलब सुनता हूँ मैं अपने मूड के ऊपर रहकर ज्यादा पसंद तो मुझे भी पुराने गाने ही है,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
522951,309629,539.44,544.15,repetition,नए नए गाने इतने मतलब अच्छे नहीं होता है जो बाराव अभी,https://storage.googleapis.com/upload_goai/642712/522951_audio.wav,
